datetime,O,H,L,C,V,OI,WAP
2020-04-13,40.0,40.0,33.25,34.2,308301,122507,34.65
2020-04-14,35.11,39.0,34.8,37.77,301525,114285,37.226
2020-04-15,37.5,37.85,34.4,36.2,202346,76496,36.459
2020-04-16,36.35,39.5,33.01,38.65,220428,90527,34.522
2020-04-17,38.0,38.65,35.0,37.09,220434,80720,36.491
2020-04-20,36.5,37.21,34.91,35.99,134667,47080,36.126
2020-04-21,35.3,35.77,33.5,34.7,137589,50984,34.318
2020-04-22,34.72,35.74,33.62,33.77,87530,34796,34.375
2020-04-23,33.77,37.2,33.6,36.4,197783,64859,36.186
2020-04-24,36.1,37.55,35.0,35.9,132173,47942,36.069
2020-04-27,36.04,40.0,35.5,39.95,172575,62824,38.334
2020-04-28,40.1,43.01,39.57,41.82,211367,77524,41.613
2020-04-29,42.24,52.49,42.24,51.75,258517,95813,47.165
2020-04-30,51.3,53.04,44.38,45.1,186768,69649,46.594
2020-05-01,43.26,44.74,40.6,41.35,183808,69932,42.248
2020-05-04,39.5,41.79,36.65,41.51,208601,79225,39.999
2020-05-05,43.11,44.44,37.01,37.85,226587,93635,39.031
2020-05-06,38.0,38.68,35.61,35.87,137474,60791,36.896
2020-05-07,35.7,38.97,35.7,38.55,121839,46431,37.876
2020-05-08,39.3,41.39,38.55,39.75,142469,49908,39.722
2020-05-11,40.0,40.0,37.78,38.0,81382,34752,38.353
2020-05-12,37.82,39.37,36.0,36.0,92882,35811,37.617
2020-05-13,36.02,38.0,33.4,35.0,200671,78161,34.747
2020-05-14,34.53,35.87,31.41,35.42,202603,74053,33.799
2020-05-15,35.8,38.27,33.85,37.4,165053,57334,36.845
2020-05-18,38.6,44.98,38.52,44.21,262869,103603,43.486
2020-05-19,44.0,44.31,40.92,41.89,157285,61949,42.944
2020-05-20,42.66,43.91,39.71,40.82,204591,73038,41.346
2020-05-21,40.0,45.07,39.75,43.8,255242,87446,43.607
2020-05-22,42.51,45.4,41.4,43.15,135998,48576,43.105
2020-05-26,46.9,50.36,46.31,49.56,245486,83063,48.703
2020-05-27,51.0,55.57,49.3,55.18,284909,99326,52.701
2020-05-28,54.95,56.5,50.85,51.05,192020,66089,53.313
2020-05-29,50.0,52.82,49.09,52.6,167101,56571,51.213
2020-06-01,52.9,56.07,51.56,54.8,179488,64828,54.593
2020-06-02,55.94,58.44,55.39,56.65,161735,59943,56.589
2020-06-03,55.83,58.8,53.8,58.7,161212,62611,57.297
2020-06-04,57.85,60.32,55.58,58.1,293856,116792,58.047
2020-06-05,59.24,74.59,59.24,71.65,533743,204091,69.23
2020-06-08,74.5,78.88,70.1,77.5,287849,114144,73.047
2020-06-09,74.0,74.47,66.63,68.41,187603,82293,69.46
2020-06-10,70.11,71.21,60.25,60.26,221302,87617,64.435
2020-06-11,57.5,60.0,53.69,57.48,259702,104408,56.811
2020-06-12,58.9,62.7,57.0,60.9,229583,88515,59.904
2020-06-15,56.7,63.25,54.77,63.25,183310,64238,59.523
2020-06-16,63.75,68.0,55.22,58.5,191770,71291,63.152
2020-06-17,59.0,61.35,56.76,57.3,196545,71962,58.132
2020-06-18,57.12,61.7,55.06,60.65,197864,66952,59.475
2020-06-19,60.5,61.71,54.72,55.0,224465,81816,57.1
2020-06-22,55.17,56.98,50.35,51.9,238470,83954,51.752
2020-06-23,53.5,54.6,51.35,53.31,168656,65320,52.922
2020-06-24,53.38,53.66,46.52,47.22,243737,89751,48.843
2020-06-25,46.4,49.19,45.0,48.7,195283,72852,47.658
2020-06-26,47.8,49.5,45.43,45.73,128741,49838,46.776
2020-06-29,45.45,50.5,44.5,50.5,157212,58684,48.673
2020-06-30,51.02,51.02,47.78,49.71,129476,47510,49.501
2020-07-01,49.37,55.62,48.6,51.0,161222,57590,52.46
2020-07-02,51.7,53.62,49.36,49.68,125093,48094,50.98
2020-07-06,51.0,51.7,47.89,50.36,118186,44638,49.704
2020-07-07,49.17,49.79,47.42,47.71,88640,34991,48.395
2020-07-08,47.63,50.7,46.51,50.15,109258,40658,48.724
2020-07-09,49.98,52.35,46.54,46.86,123292,46199,47.829
2020-07-10,46.5,52.05,45.67,51.93,181358,74210,50.024
